temp,humidity,precip,windspeed,pressure,next_hour_rain
27.1,83.68,0.0,18.4,1010.0,0
26.1,94.24,0.0,9.4,1010.0,1
27.1,81.35,1.0,4.4,1008.9,1
27.1,88.84,1.0,13.0,1009.0,0
27.1,88.84,0.0,13.0,1009.0,1
26.9,83.19,1.0,7.6,1009.5,1
26.7,86.43,1.0,5.3,1009.0,0
25.2,93.18,0.0,5.3,1010.0,1
26.8,87.82,1.0,4.0,1011.8,1
28.1,83.79,1.0,18.4,1011.0,0
29.9,71.04,0.0,18.0,1012.0,0
29.8,72.28,0.0,10.5,1011.2,0
30.9,67.82,0.0,23.0,1011.0,0
30.9,67.82,0.0,19.4,1010.0,1
29.8,72.65,1.0,10.4,1008.4,0
30.1,74.64,0.0,24.1,1008.0,0
30.1,71.07,0.0,22.3,1008.0,1
26.8,87.2,1.0,6.9,1008.5,1
25.4,87.74,1.0,15.4,1008.0,0
27.7,79.35,0.0,35.3,1009.0,1
27.0,84.0,1.0,7.8,1010.0,0
27.1,88.84,0.0,20.5,1010.0,0
28.1,78.93,0.0,16.6,1010.0,0
27.5,81.82,0.0,10.2,1009.8,0
28.1,78.93,0.0,14.8,1010.0,0
27.1,88.84,0.0,11.2,1009.0,1
27.4,84.9,1.0,11.7,1008.3,0
27.1,88.84,0.0,16.6,1008.0,0
27.1,88.84,0.0,18.4,1008.0,1
27.0,84.78,1.0,7.3,1008.7,0
27.1,83.68,0.0,16.6,1008.0,0
28.1,82.89,0.0,16.6,1009.0,1
28.3,80.55,1.0,11.4,1010.7,0
29.9,75.42,0.0,13.5,1010.0,0
30.1,74.64,0.0,14.3,1011.0,1
29.9,72.3,1.0,14.9,1009.9,0
30.9,67.82,0.0,19.1,1010.0,0
30.9,64.56,0.0,17.1,1009.0,1
29.5,70.86,1.0,11.1,1008.0,0
29.9,68.37,0.0,23.8,1007.0,0
29.1,70.89,0.0,18.0,1007.0,1
27.9,76.21,1.0,9.4,1008.3,0
28.1,75.13,0.0,25.7,1008.0,0
27.1,83.68,0.0,18.4,1008.0,1
27.7,76.15,1.0,9.5,1010.0,0
27.9,79.38,0.0,37.4,1009.0,0
27.1,83.68,0.0,22.3,1010.0,0
28.5,74.87,0.0,6.9,1010.5,0
27.1,83.68,0.0,11.2,1010.0,0
27.1,83.68,0.0,13.0,1009.0,1
27.6,78.45,1.0,9.9,1008.6,0
27.1,83.68,0.0,11.2,1008.0,0
27.1,83.68,0.0,14.8,1007.0,1
27.3,78.36,1.0,11.2,1008.3,0
27.1,78.79,0.0,21.8,1008.0,0
27.1,83.68,0.0,26.0,1008.0,1
28.1,76.09,1.0,14.0,1009.9,0
28.7,71.61,0.0,24.2,1009.0,0
29.7,68.34,0.0,21.3,1010.0,1
29.7,68.23,1.0,14.7,1009.7,0
30.1,66.19,0.0,20.5,1009.0,0
29.1,77.37,0.0,24.9,1008.0,0
29.1,71.28,0.0,8.7,1007.0,0
29.9,70.27,0.0,16.6,1007.0,0
29.1,70.89,0.0,13.0,1007.0,1
28.4,76.43,1.0,12.6,1007.4,0
28.1,78.93,0.0,15.6,1007.0,0
27.1,83.68,0.0,29.7,1008.0,1
27.1,82.52,1.0,10.7,1009.5,0
27.9,79.77,0.0,17.1,1009.0,0
27.1,83.68,0.0,13.0,1010.0,1
27.5,81.36,1.0,4.9,1009.6,0
27.1,83.68,0.0,14.8,1010.0,0
27.1,88.84,0.0,14.8,1009.0,1
27.2,83.07,1.0,8.3,1008.2,0
27.1,83.68,0.0,9.4,1008.0,0
27.1,83.68,0.0,13.0,1008.0,1
26.4,88.55,1.0,4.8,1007.5,0
27.1,87.88,0.0,12.3,1008.0,0
27.9,83.77,0.0,10.5,1008.0,1
28.3,82.25,1.0,4.2,1009.1,0
28.9,76.09,0.0,10.0,1009.0,0
29.9,71.04,0.0,13.3,1010.0,1
29.7,72.1,1.0,8.2,1008.6,0
30.9,63.86,0.0,13.3,1009.0,0
30.9,63.86,0.0,15.1,1008.0,1
29.4,71.13,1.0,9.6,1006.7,0
30.1,70.3,0.0,10.7,1007.0,0
29.1,74.47,0.0,10.3,1006.0,0
28.4,77.61,0.0,4.4,1006.9,0
28.1,78.93,0.0,8.9,1007.0,0
28.1,78.93,0.0,14.8,1008.0,0
27.9,81.09,0.0,5.9,1009.1,0
28.1,78.93,0.0,16.6,1009.0,0
28.1,78.93,0.0,14.8,1010.0,0
27.7,81.26,0.0,8.2,1009.0,0
27.1,83.68,0.0,11.2,1009.0,0
27.1,83.68,0.0,11.2,1009.0,0
28.2,78.3,0.0,4.2,1007.0,0
27.1,83.68,0.0,11.2,1007.0,0
27.1,83.68,0.0,11.2,1007.0,1
27.4,82.45,1.0,4.6,1007.5,0
27.9,79.77,0.0,10.0,1008.0,0
27.1,83.68,0.0,13.0,1009.0,0
28.4,78.43,0.0,8.0,1010.0,0
29.1,74.47,0.0,18.4,1011.0,0
29.1,79.07,0.0,20.5,1011.0,1
30.0,72.98,1.0,11.7,1009.3,0
30.1,70.3,0.0,24.1,1010.0,0
30.1,73.83,0.0,15.4,1009.0,1
30.0,71.91,1.0,9.7,1006.8,0
30.7,68.53,0.0,13.9,1007.0,0
29.9,71.82,0.0,12.1,1006.0,1
28.4,78.59,1.0,6.0,1007.2,0
28.1,79.79,0.0,11.0,1007.0,0
28.1,78.93,0.0,20.5,1008.0,0
27.7,78.81,0.0,6.3,1009.8,0
27.1,83.68,0.0,20.5,1010.0,0
28.1,78.93,0.0,16.6,1010.0,0
27.4,82.52,0.0,6.0,1009.5,0
28.1,78.93,0.0,18.4,1009.0,0
27.1,83.68,0.0,14.8,1009.0,0
27.2,81.21,0.0,6.0,1007.7,1
27.1,83.68,1.0,14.8,1007.0,0
27.1,88.84,0.0,13.0,1007.0,1
27.1,82.52,1.0,8.2,1007.7,1
26.9,85.51,1.0,14.1,1008.0,0
26.1,94.24,0.0,14.8,1009.0,0
28.3,78.14,0.0,9.2,1010.4,1
28.1,78.93,1.0,18.4,1010.0,0
29.1,74.47,0.0,18.4,1011.0,0
30.1,71.17,0.0,9.6,1009.1,0
30.1,70.3,0.0,18.4,1010.0,0
30.1,70.3,0.0,18.4,1008.0,0
30.1,70.3,0.0,14.8,1007.0,0
30.1,70.3,0.0,18.4,1007.0,0
29.1,74.47,0.0,20.5,1006.0,0
28.6,76.82,0.0,7.9,1007.0,0
28.1,78.93,0.0,18.4,1007.0,0
28.1,78.93,0.0,14.8,1008.0,1
27.7,79.95,1.0,4.0,1009.7,0
27.1,83.68,0.0,16.6,1010.0,0
27.1,83.68,0.0,16.6,1010.0,0
27.4,82.63,0.0,3.8,1009.8,0
27.1,83.68,0.0,16.6,1010.0,0
27.1,83.68,0.0,13.0,1009.0,0
27.2,83.29,0.0,0.7,1007.5,0
27.1,83.68,0.0,14.8,1007.0,0
27.1,83.68,0.0,9.4,1008.0,0
26.9,82.34,0.0,4.1,1008.0,0
27.1,83.68,0.0,11.2,1008.0,0
27.1,83.68,0.0,11.2,1009.0,0
28.1,78.93,0.0,14.8,1010.0,0
29.1,74.47,0.0,18.4,1010.0,0
30.1,70.3,0.0,16.6,1011.0,1
30.0,71.56,1.0,6.0,1009.9,0
30.1,70.3,0.0,16.6,1010.0,0
30.1,73.83,0.0,11.8,1009.0,0
29.2,72.12,0.0,4.0,1007.2,0
29.1,73.67,0.0,7.4,1007.0,0
29.2,70.15,0.0,8.1,1007.0,0
28.2,77.17,0.0,1.2,1008.1,0
28.1,78.93,0.0,8.5,1008.0,0
26.9,80.2,0.0,19.4,1009.0,0
27.7,79.66,0.0,0.8,1010.1,0
28.1,78.93,0.0,14.8,1010.0,0
28.1,78.93,0.0,9.4,1010.0,0
27.4,81.19,0.0,0.5,1010.2,0
27.1,83.68,0.0,9.4,1010.0,0
27.1,83.68,0.0,13.0,1009.0,0
27.0,81.3,0.0,3.9,1008.4,0
27.1,78.79,0.0,13.0,1008.0,0
27.1,78.79,0.0,11.2,1008.0,0
27.0,79.37,0.0,3.8,1008.0,0
27.1,83.68,0.0,11.2,1009.0,0
27.1,83.68,0.0,9.4,1009.0,0
28.3,75.72,0.0,5.5,1010.1,0
28.1,78.93,0.0,11.2,1011.0,0
29.1,74.47,0.0,14.8,1011.0,0
30.1,69.1,0.0,9.0,1009.5,0
29.1,70.12,0.0,14.8,1010.0,0
29.1,70.12,0.0,13.0,1009.0,0
30.2,66.69,0.0,2.8,1006.9,0
29.1,74.47,0.0,14.8,1007.0,0
29.1,74.47,0.0,13.0,1007.0,0
28.4,74.83,0.0,5.9,1007.3,0
28.1,78.93,0.0,9.4,1007.0,0
27.4,80.08,0.0,1.8,1009.4,0
27.4,80.08,0.0,1.7,1009.4,0
27.1,83.68,0.0,3.6,1009.0,0
27.1,81.69,0.0,16.9,1010.0,0
27.2,83.3,0.0,1.7,1009.7,0
26.1,94.24,0.0,9.4,1009.0,0
26.1,94.24,0.0,3.6,1009.0,0
26.8,82.89,0.0,3.7,1007.6,0
26.1,94.24,0.0,9.4,1008.0,0
25.1,94.19,0.0,11.2,1008.0,1
27.1,81.66,1.0,4.9,1008.6,0
25.1,94.19,0.0,5.4,1009.0,0
25.1,94.19,0.0,3.6,1010.0,0
28.8,73.8,0.0,6.9,1010.5,0
28.1,78.93,0.0,9.4,1011.0,0
29.1,74.47,0.0,13.0,1012.0,0
29.7,69.54,0.0,5.9,1009.7,0
30.1,70.3,0.0,14.8,1010.0,0
30.1,70.3,0.0,11.2,1009.0,0
30.2,70.92,0.0,9.3,1007.1,0
29.1,79.07,0.0,9.4,1007.0,0
29.1,79.07,0.0,13.0,1007.0,1
28.2,80.64,1.0,5.2,1007.6,0
28.1,83.79,0.0,13.0,1008.0,0
27.1,88.84,0.0,11.2,1009.0,0
27.8,85.15,0.0,4.9,1010.3,0
27.1,83.68,0.0,7.6,1011.0,0
26.1,88.76,0.0,3.6,1011.0,0
27.5,89.22,0.0,5.0,1010.5,0
26.1,88.76,0.0,0.0,1011.0,0
26.1,88.76,0.0,3.6,1010.0,0
27.1,85.97,0.0,2.6,1008.6,0
25.1,100.0,0.0,3.6,1009.0,0
25.1,100.0,0.0,1.8,1009.0,0
26.8,85.36,0.0,0.7,1009.7,1
25.1,100.0,1.0,3.6,1010.0,0
26.1,94.24,0.0,1.8,1011.0,0
28.8,76.76,0.0,5.2,1012.0,0
29.1,79.07,0.0,14.8,1012.0,0
30.1,74.64,0.0,11.2,1013.0,0
30.2,66.93,0.0,8.7,1011.7,0
30.1,66.19,0.0,16.6,1011.0,0
31.1,62.51,0.0,18.4,1010.0,0
30.7,68.89,0.0,9.4,1008.6,0
31.1,66.39,0.0,20.5,1009.0,0
30.1,70.3,0.0,16.6,1008.0,0
28.4,77.4,0.0,7.2,1008.9,0
29.1,74.47,0.0,14.8,1009.0,0
28.1,78.93,0.0,16.6,1010.0,1
27.8,81.5,1.0,4.2,1011.3,0
28.1,78.93,0.0,14.8,1012.0,0
27.1,88.84,0.0,14.8,1012.0,0
27.6,83.67,0.0,3.5,1011.5,0
26.1,94.24,0.0,7.6,1011.0,0
26.1,88.76,0.0,3.6,1011.0,0
27.3,84.15,0.0,0.1,1010.1,0
25.1,94.19,0.0,7.6,1010.0,0
25.1,94.19,0.0,3.6,1010.0,1
25.8,92.93,1.0,0.2,1009.8,1
25.1,94.19,1.0,5.4,1010.0,0
26.1,88.76,0.0,7.6,1011.0,0
28.4,80.02,0.0,3.4,1011.6,0
28.1,83.79,0.0,9.4,1012.0,0
29.1,74.47,0.0,11.2,1013.0,0
30.2,76.24,0.0,4.3,1011.5,0
30.1,66.19,0.0,16.6,1011.0,0
30.1,70.3,0.0,18.4,1010.0,0
30.4,69.1,0.0,7.8,1008.5,0
30.1,70.3,0.0,14.8,1008.0,0
29.1,74.47,0.0,16.6,1008.0,0
28.3,75.1,0.0,7.7,1008.6,0
28.1,78.93,0.0,14.8,1008.0,0
28.1,78.93,0.0,16.6,1009.0,0
27.8,80.0,0.0,4.0,1010.8,0
27.1,83.68,0.0,14.8,1011.0,0
27.1,83.68,0.0,11.2,1011.0,0
27.8,82.72,0.0,2.2,1010.9,0
26.1,88.76,0.0,7.6,1011.0,0
26.1,88.76,0.0,7.6,1010.0,1
25.9,87.99,1.0,4.3,1009.7,1
25.1,94.19,1.0,3.6,1009.0,0
25.1,94.19,0.0,7.6,1009.0,1
25.9,92.67,1.0,7.5,1009.6,1
25.1,94.19,1.0,3.6,1010.0,0
25.1,94.19,0.0,7.6,1011.0,1
27.0,85.42,1.0,5.6,1011.7,1
27.1,88.84,1.0,16.6,1012.0,0
29.1,79.07,0.0,20.5,1013.0,1
26.2,91.27,1.0,6.2,1011.6,1
26.4,92.23,1.0,14.2,1011.0,0
26.0,86.12,0.0,22.7,1010.0,0
27.1,88.84,0.0,11.2,1009.0,0
26.1,94.24,0.0,7.6,1008.0,0
26.1,89.74,0.0,5.1,1008.0,1
25.7,94.13,1.0,0.1,1009.0,1
25.9,95.25,1.0,5.0,1009.0,0
25.1,100.0,0.0,9.4,1009.0,1
25.3,95.32,1.0,2.1,1010.2,1
25.1,94.19,1.0,5.4,1011.0,0
25.1,94.19,0.0,5.4,1012.0,1
25.0,95.87,1.0,1.8,1010.9,1
25.1,94.19,1.0,7.6,1011.0,0
25.1,94.19,0.0,5.4,1010.0,1
25.0,95.87,1.0,0.2,1008.9,1
25.1,94.19,1.0,5.4,1009.0,0
25.1,94.19,0.0,7.6,1009.0,1
25.1,96.89,1.0,0.6,1009.1,1
25.1,94.19,1.0,2.5,1009.0,0
27.3,74.18,0.0,11.9,1010.0,0
25.1,94.19,0.0,11.2,1011.0,0
25.1,94.19,0.0,11.2,1011.0,0
25.1,100.0,0.0,7.6,1012.0,0
26.1,94.24,0.0,9.4,1011.0,0
27.1,88.84,0.0,11.2,1010.0,0
27.2,92.28,0.0,14.8,1009.0,1
26.6,89.2,1.0,7.8,1008.0,1
25.9,95.25,1.0,8.2,1008.0,0
26.1,94.24,0.0,6.1,1007.0,1
25.5,94.44,1.0,9.7,1009.0,1
25.1,94.19,1.0,22.3,1008.0,0
24.1,94.15,0.0,5.4,1009.0,1
25.8,94.35,1.0,0.7,1011.6,1
25.1,100.0,1.0,11.2,1011.0,0
25.1,94.19,0.0,25.9,1011.0,1
25.6,92.75,1.0,2.4,1011.4,1
25.1,94.19,1.0,13.0,1011.0,0
25.1,94.19,0.0,13.0,1010.0,1
25.6,94.61,1.0,0.7,1009.2,1
25.1,100.0,1.0,7.6,1009.0,0
26.0,83.06,0.0,16.6,1009.0,0
26.1,81.57,0.0,15.8,1009.0,0
26.2,81.09,0.0,16.9,1009.0,0
26.4,80.62,0.0,19.8,1010.0,1
26.1,93.26,1.0,2.5,1010.7,1
25.1,100.0,1.0,3.6,1011.0,0
27.1,88.84,0.0,9.4,1012.0,1
26.6,93.96,1.0,7.3,1009.7,1
27.1,94.28,1.0,5.4,1010.0,0
27.1,88.84,0.0,9.4,1009.0,1
25.8,92.87,1.0,3.9,1007.7,1
26.1,94.24,1.0,11.2,1007.0,0
26.1,94.24,0.0,5.4,1007.0,1
25.2,96.23,1.0,0.7,1007.9,1
25.1,100.0,1.0,1.8,1008.0,0
25.1,100.0,0.0,9.4,1009.0,1
25.3,96.0,1.0,0.5,1010.9,1
24.1,100.0,1.0,5.4,1010.0,0
24.1,100.0,0.0,5.4,1010.0,1
24.1,97.1,1.0,0.2,1010.1,1
24.1,100.0,1.0,1.8,1010.0,0
24.1,100.0,0.0,1.8,1009.0,0
23.9,98.25,0.0,0.1,1007.6,0
24.1,100.0,0.0,5.4,1008.0,0
24.1,94.15,0.0,7.6,1007.0,1
24.3,96.93,1.0,0.1,1008.1,1
25.1,94.19,1.0,7.6,1008.0,0
24.1,100.0,0.0,3.6,1009.0,1
27.1,89.54,1.0,3.8,1010.2,0
25.1,100.0,0.0,5.4,1011.0,0
28.1,83.79,0.0,9.4,1011.0,1
26.2,86.45,1.0,5.1,1009.8,1
28.1,83.79,1.0,9.4,1010.0,0
27.1,88.84,0.0,14.8,1008.0,1
26.4,92.64,1.0,1.9,1007.7,0
27.1,88.84,0.0,13.0,1007.0,0
28.1,83.79,0.0,16.6,1006.0,0
28.1,78.93,0.0,14.8,1006.0,0
27.1,88.84,0.0,16.6,1007.0,0
26.1,94.24,0.0,7.6,1008.0,0
26.2,91.24,0.0,0.4,1010.0,1
25.1,100.0,1.0,3.6,1010.0,0
25.1,94.19,0.0,5.4,1010.0,0
25.3,93.68,0.0,0.3,1010.2,1
25.1,100.0,1.0,0.0,1010.0,0
25.1,94.19,0.0,7.6,1009.0,1
25.1,96.5,1.0,0.5,1008.2,1
25.1,94.19,1.0,7.6,1008.0,0
25.1,94.19,0.0,3.6,1008.0,0
24.6,94.69,0.0,0.2,1008.9,1
24.1,94.15,1.0,5.4,1009.0,0
24.1,100.0,0.0,3.6,1010.0,1
26.9,90.46,1.0,0.4,1011.7,0
27.1,88.84,0.0,11.2,1012.0,0
28.1,83.79,0.0,16.6,1012.0,1
29.8,74.23,1.0,9.8,1011.2,0
29.1,79.07,0.0,14.8,1011.0,0
30.1,70.3,0.0,18.4,1010.0,1
29.8,73.87,1.0,9.5,1009.1,0
30.1,74.64,0.0,18.4,1009.0,0
30.1,70.3,0.0,20.5,1009.0,1
28.4,78.57,1.0,5.8,1010.2,0
28.1,78.93,0.0,16.6,1010.0,0
28.1,78.93,0.0,14.8,1011.0,1
27.3,86.41,1.0,5.3,1012.7,1
26.1,94.24,1.0,9.4,1013.0,0
26.1,94.24,0.0,7.6,1014.0,1
26.2,88.88,1.0,3.6,1012.7,1
25.1,100.0,1.0,5.4,1013.0,0
25.1,100.0,0.0,7.6,1012.0,1
26.0,92.79,1.0,0.7,1010.8,1
25.1,94.19,1.0,3.6,1011.0,0
25.9,82.04,0.0,14.8,1011.0,0
25.7,83.02,0.0,15.8,1011.0,0
26.2,80.6,0.0,18.7,1012.0,0
26.1,81.08,0.0,20.5,1013.0,0
25.9,82.54,0.0,22.0,1014.0,0
25.6,85.05,0.0,21.2,1015.0,0
26.1,94.24,0.0,9.4,1015.0,1
29.4,74.71,1.0,4.1,1013.3,1
28.1,83.79,1.0,13.0,1013.0,0
28.1,83.79,0.0,14.8,1012.0,1
26.6,89.32,1.0,1.7,1010.6,1
26.1,94.24,1.0,14.8,1010.0,0
27.1,83.68,0.0,13.0,1010.0,1
27.1,84.1,1.0,2.2,1011.1,0
27.1,83.68,0.0,7.6,1011.0,0
26.1,88.76,0.0,7.6,1012.0,0
25.8,93.25,0.0,0.5,1013.2,0
26.1,94.24,0.0,7.6,1013.0,0
25.1,100.0,0.0,3.6,1014.0,1
26.0,90.87,1.0,0.6,1012.3,1
25.1,100.0,1.0,7.6,1013.0,0
24.1,100.0,0.0,0.0,1012.0,0
24.1,100.0,0.0,11.2,1012.0,0
25.1,94.19,0.0,0.0,1011.0,0
26.4,80.62,0.0,15.8,1011.0,0
26.6,80.65,0.0,17.6,1011.0,0
26.3,83.09,0.0,20.5,1012.0,0
25.1,94.19,0.0,3.6,1012.0,1
25.3,91.96,1.0,2.4,1014.2,1
26.1,88.76,1.0,11.2,1014.0,0
27.1,83.68,0.0,11.2,1014.0,1
26.8,83.11,1.0,5.9,1013.3,1
27.1,83.68,1.0,9.4,1013.0,0
27.1,88.84,0.0,11.2,1012.0,1
25.4,85.53,1.0,5.5,1011.1,0
26.8,81.16,0.0,23.0,1010.0,0
26.1,94.24,0.0,5.4,1010.0,1
26.2,90.72,1.0,5.6,1011.4,1
26.2,87.81,1.0,6.4,1011.0,0
26.1,88.76,0.0,7.6,1012.0,1
26.1,91.66,1.0,0.6,1012.8,0
26.1,94.24,0.0,5.4,1013.0,0
26.1,94.24,0.0,5.4,1013.0,1
26.3,90.07,1.0,2.2,1012.4,0
26.1,88.76,0.0,9.4,1012.0,0
26.1,88.76,0.0,9.4,1011.0,1
26.3,87.78,1.0,5.1,1010.5,0
26.1,88.76,0.0,11.2,1010.0,0
26.1,94.24,0.0,9.4,1010.0,1
26.1,90.69,1.0,0.5,1010.4,0
25.1,94.19,0.0,3.6,1010.0,0
25.1,94.19,0.0,3.6,1011.0,0
27.8,85.36,0.0,3.6,1012.6,0
28.1,83.79,0.0,7.6,1012.0,0
29.1,83.9,0.0,11.2,1013.0,1
28.7,78.62,1.0,11.1,1012.4,1
29.1,79.07,1.0,13.0,1011.0,0
29.1,83.9,0.0,9.4,1010.0,1
29.6,75.96,1.0,9.6,1009.4,0
30.1,74.64,0.0,8.2,1009.0,0
30.1,74.64,0.0,13.0,1008.0,1
28.2,79.44,1.0,5.7,1009.7,0
28.1,79.79,0.0,6.4,1009.0,0
28.1,75.13,0.0,6.4,1010.0,0
27.3,83.64,0.0,5.5,1012.4,0
27.1,83.68,0.0,9.4,1012.0,0
27.1,83.68,0.0,9.4,1012.0,1
27.1,81.3,1.0,5.5,1012.5,0
,,,,,0
27.1,83.68,0.0,13.0,1012.0,0
27.1,83.68,0.0,14.8,1011.0,1
27.0,82.81,1.0,5.4,1009.9,1
26.1,88.76,1.0,9.4,1010.0,0
27.1,83.68,0.0,11.2,1009.0,1
27.1,81.15,1.0,5.9,1010.3,0
27.1,83.68,0.0,7.6,1010.0,0
27.1,83.68,0.0,5.4,1011.0,1
28.4,76.63,1.0,7.7,1012.5,0
28.1,78.93,0.0,13.0,1012.0,0
29.1,74.47,0.0,16.6,1013.0,1
29.2,78.47,1.0,7.9,1012.2,0
29.1,74.47,0.0,13.0,1012.0,0
29.1,74.47,0.0,13.0,1011.0,1
29.6,76.27,1.0,10.3,1009.3,0
29.1,79.07,0.0,13.0,1009.0,0
29.1,79.07,0.0,16.6,1009.0,1
28.2,78.54,1.0,5.6,1010.2,0
28.1,83.79,0.0,13.0,1010.0,0
28.1,78.93,0.0,7.6,1011.0,0
27.4,82.6,0.0,2.6,1012.9,1
27.1,83.68,1.0,9.4,1013.0,0
27.1,83.68,0.0,5.4,1013.0,1
27.2,83.6,1.0,3.9,1012.5,0
27.1,83.68,0.0,11.2,1012.0,0
27.1,88.84,0.0,9.4,1011.0,1
26.9,85.05,1.0,4.3,1010.3,1
26.1,94.24,1.0,9.4,1010.0,0
27.1,80.71,0.0,26.3,1010.0,0
27.0,81.19,0.0,26.3,1010.0,0
26.3,85.12,0.0,24.1,1011.0,0
25.8,88.21,0.0,20.9,1012.0,1
24.0,94.95,1.0,3.3,1013.3,1
24.1,94.15,1.0,5.4,1013.0,0
25.1,94.19,0.0,5.4,1014.0,1
26.9,87.59,1.0,1.7,1012.7,0
27.1,88.84,0.0,5.4,1012.0,0
29.1,79.07,0.0,1.8,1011.0,1
26.3,90.4,1.0,2.1,1010.3,1
28.1,78.93,1.0,7.6,1010.0,0
27.1,83.68,0.0,5.4,1009.0,1
25.1,91.36,1.0,5.4,1010.7,0
26.1,88.76,0.0,1.8,1011.0,0
26.1,88.76,0.0,1.8,1012.0,1
24.9,95.7,1.0,0.0,1013.8,1
26.1,94.24,1.0,3.6,1013.0,0
25.1,100.0,0.0,3.6,1013.0,1
24.7,96.95,1.0,0.1,1012.9,0
25.1,100.0,0.0,3.6,1013.0,0
25.1,100.0,0.0,3.6,1012.0,1
25.3,96.89,1.0,3.3,1010.8,1
25.1,100.0,1.0,5.4,1011.0,0
25.1,100.0,0.0,3.6,1010.0,1
25.8,93.16,1.0,0.6,1011.0,1
25.1,100.0,1.0,3.6,1011.0,0
25.1,100.0,0.0,0.0,1012.0,1
26.0,95.73,1.0,3.3,1013.3,1
28.1,83.79,1.0,9.4,1013.0,0
28.1,83.79,0.0,13.0,1014.0,1
24.7,93.68,1.0,1.8,1013.2,1
26.1,94.24,1.0,9.4,1012.0,0
27.1,83.68,0.0,5.4,1011.0,1
25.8,94.28,1.0,0.3,1010.3,0
28.1,83.79,0.0,13.0,1010.0,0
28.1,83.79,0.0,9.4,1009.0,1
27.1,86.88,1.0,2.2,1010.6,1
25.1,94.19,1.0,9.4,1010.0,0
25.1,94.19,0.0,5.4,1011.0,1
25.1,92.6,1.0,1.7,1013.3,1
25.1,94.19,1.0,5.4,1013.0,0
25.1,94.19,0.0,5.4,1013.0,1
24.4,95.95,1.0,0.5,1013.6,0
25.1,94.19,0.0,1.8,1013.0,0
25.1,94.19,0.0,3.6,1012.0,1
24.0,97.38,1.0,0.2,1010.7,1
25.1,94.19,1.0,3.6,1010.0,0
25.1,94.19,0.0,5.4,1010.0,1
24.0,96.99,1.0,0.1,1011.0,1
24.1,100.0,1.0,5.4,1011.0,0
24.1,100.0,0.0,5.4,1012.0,1
26.0,94.4,1.0,0.5,1013.3,1
25.1,94.19,1.0,7.6,1013.0,0
26.1,94.24,0.0,5.4,1014.0,0
26.8,87.13,0.0,5.9,1012.9,1
27.1,83.68,1.0,5.4,1012.0,0
26.1,94.24,0.0,7.6,1012.0,1
25.3,93.34,1.0,2.0,1010.7,0
28.1,74.31,0.0,7.6,1010.0,0
28.1,74.31,0.0,5.4,1010.0,1
25.4,92.87,1.0,6.7,1010.7,0
26.1,83.57,0.0,9.4,1010.0,0
25.1,94.19,0.0,3.6,1011.0,1
25.1,95.74,1.0,0.0,1012.9,1
25.1,94.19,1.0,5.4,1013.0,0
25.1,100.0,0.0,5.4,1013.0,1
26.3,92.87,1.0,5.4,1012.1,0
26.2,82.58,0.0,10.1,1012.0,0
26.0,84.07,0.0,10.1,1012.0,1
26.3,88.93,1.0,4.4,1010.2,0
27.1,88.84,0.0,14.8,1010.0,0
26.1,94.24,0.0,14.8,1010.0,1
26.3,87.98,1.0,5.7,1010.3,0
26.9,79.24,0.0,19.8,1011.0,0
26.1,94.24,0.0,11.2,1011.0,1
27.3,86.35,1.0,2.5,1012.7,1
27.1,83.68,1.0,11.2,1013.0,0
29.1,79.07,0.0,16.6,1013.0,1
29.1,79.77,1.0,8.1,1012.0,0
29.1,79.07,0.0,16.6,1012.0,0
29.1,79.07,0.0,13.0,1010.0,0
28.9,79.73,0.0,8.2,1009.1,0
29.1,79.07,0.0,16.6,1009.0,0
29.1,79.07,0.0,16.6,1009.0,1
27.9,83.33,1.0,4.1,1009.5,0
28.1,83.79,0.0,11.2,1010.0,0
27.1,88.84,0.0,11.2,1010.0,1
27.1,86.32,1.0,3.9,1011.7,0
27.1,88.84,0.0,9.4,1012.0,0
27.1,88.84,0.0,11.2,1012.0,0
26.7,88.21,0.0,3.9,1011.6,0
27.1,88.84,0.0,9.4,1011.0,0
27.1,88.84,0.0,9.4,1011.0,1
26.5,87.76,1.0,2.5,1009.9,1
26.1,94.24,1.0,9.4,1010.0,0
26.1,94.24,0.0,11.2,1009.0,1
